"x","msg_reg","LF_agg"
0,"AFR",0.619300551119111
0.01,"AFR",0.619300551119111
0.02,"AFR",0.61930369208524
0.03,"AFR",0.61930369208524
0.04,"AFR",0.625502786500948
0.05,"AFR",0.624677989397354
0.06,"AFR",0.639800504199284
0.07,"AFR",0.640935890036767
0.08,"AFR",0.6319665033565
0.09,"AFR",0.630062513283953
0.1,"AFR",0.639689584738793
0.11,"AFR",0.635145237995267
0.12,"AFR",0.635859395281998
0.13,"AFR",0.625987494873938
0.14,"AFR",0.630444483911826
0.15,"AFR",0.631393375492407
0.16,"AFR",0.620625021538578
0.17,"AFR",0.633010305850067
0.18,"AFR",0.633462017067996
0.19,"AFR",0.633772759566328
0.2,"AFR",0.63094365847196
0.21,"AFR",0.620409927818882
0.22,"AFR",0.629771777497618
0.23,"AFR",0.656149473478814
0.24,"AFR",0.658010899840397
0.25,"AFR",0.656034698079551
0.26,"AFR",0.638426584777771
0.27,"AFR",0.629417539969493
0.28,"AFR",0.63938995557763
0.29,"AFR",0.644602683914862
0.3,"AFR",0.633416999547031
0.31,"AFR",0.627233283070126
0.32,"AFR",0.651480495152798
0.33,"AFR",0.638458752837935
0.34,"AFR",0.633179204404034
0.35,"AFR",0.651238638461502
0.36,"AFR",0.570083155825738
0.37,"AFR",0.569805087095655
0.38,"AFR",0.582619197036099
0.39,"AFR",0.570679032475159
0.4,"AFR",0.564323979514946
0.41,"AFR",0.561423784064139
0.42,"AFR",0.561090800772605
0.43,"AFR",0.56585289803943
0.44,"AFR",0.551050655423677
0.45,"AFR",0.574444823161406
0.46,"AFR",0.595922779161346
0.47,"AFR",0.565843456145488
0.48,"AFR",0.559421915376422
0.49,"AFR",0.548339467423887
0.5,"AFR",0.556296036227499
0.51,"AFR",0.561401289968306
0.52,"AFR",0.580797682004396
0.53,"AFR",0.576395788259498
0.54,"AFR",0.502059936844192
0.55,"AFR",0.508480733758762
0.56,"AFR",0.526991904362956
0.57,"AFR",0.502983362304057
0.58,"AFR",0.531005032071909
0.59,"AFR",0.546174726811646
0.6,"AFR",0.553085566340403
0.61,"AFR",0.57516280620846
0.62,"AFR",0.56681516614894
0.63,"AFR",0.58089787692435
0.64,"AFR",0.51780778341674
0.65,"AFR",0.507936171220486
0.66,"AFR",0.525078230602964
0.67,"AFR",0.612447562436526
0.68,"AFR",0.505721177506737
0.69,"AFR",0.576590389231082
0.7,"AFR",0.514315289781347
0.71,"AFR",0.54578657150351
0.72,"AFR",0.571882594691261
0.73,"AFR",0.584369114558933
0.74,"AFR",0.613725046950918
0.75,"AFR",0.520983829552062
0.76,"AFR",0.531143699213255
0.77,"AFR",0.530315050949912
0.78,"AFR",0.558318863776577
0.79,"AFR",0.537317362866481
0.8,"AFR",0.597089519756371
0.81,"AFR",0.559348526966096
0.82,"AFR",0.514743511726321
0.83,"AFR",0.52218466825236
0.84,"AFR",0.549672715430317
0.85,"AFR",0.539431427867236
0.86,"AFR",0.533746235424413
0.87,"AFR",0.520219142185089
0.88,"AFR",0.54348018608947
0.89,"AFR",0.522674776006098
0.9,"AFR",0.506600968548853
0.91,"AFR",0.571068672477751
0.92,"AFR",0.526689903219719
0.93,"AFR",0.518232939541569
0.94,"AFR",0.53112344169388
0.95,"AFR",0.468851953131648
0.96,"AFR",0.552527946424081
0.97,"AFR",0.515799817852754
0.98,"AFR",0.525735145781104
0.99,"AFR",0.521091407394171
1,"AFR",0.521091407394171
0,"CPA",0.450282863254576
0.01,"CPA",0.450282863254576
0.02,"CPA",0.450282863254576
0.03,"CPA",0.434596971611454
0.04,"CPA",0.434596971611454
0.05,"CPA",0.436874476105061
0.06,"CPA",0.612915326944541
0.07,"CPA",0.454232259614124
0.08,"CPA",0.425407063226763
0.09,"CPA",0.423829557775677
0.1,"CPA",0.4231723575744
0.11,"CPA",0.432401559421305
0.12,"CPA",0.433854163602177
0.13,"CPA",0.430276881936514
0.14,"CPA",0.453169396325732
0.15,"CPA",0.463671378486607
0.16,"CPA",0.427345534795904
0.17,"CPA",0.430455891066798
0.18,"CPA",0.590839560902895
0.19,"CPA",0.464559846129696
0.2,"CPA",0.438541646776846
0.21,"CPA",0.417896000531319
0.22,"CPA",0.428906555634238
0.23,"CPA",0.424506924454101
0.24,"CPA",0.45469681592107
0.25,"CPA",0.420168621416775
0.26,"CPA",0.423655087495298
0.27,"CPA",0.448479794534413
0.28,"CPA",0.504104036124583
0.29,"CPA",0.446546319577235
0.3,"CPA",0.518736864951353
0.31,"CPA",0.452080401941498
0.32,"CPA",0.480103069775806
0.33,"CPA",0.474968773187388
0.34,"CPA",0.498066373708535
0.35,"CPA",0.445106388623183
0.36,"CPA",0.556674093911405
0.37,"CPA",0.524259557010563
0.38,"CPA",0.439160764759096
0.39,"CPA",0.440407699605568
0.4,"CPA",0.530455422247836
