"msg_reg","pot_agg"
"AFR",7433317980
"CPA",5175046650
"EEU",389598800
"FSU",727512100
"LAM",10143801970
"MEA",969581090
"NAM",1991790000
"PAO",325205000
"PAS",5094486100
"SAS",3163491700
"WEU",1301790180
